studyid,Source,Year,sample,N,r,Turnover Type,Performance Dimenions,Employment System,Industry,Region,Data structure,Role of turnover rates,Journal Quality
1,1|Arthur ,1994,US steel minimills,25,-0.159999996,Total,Quality,Primary,Manufacturing,US,Cross-sectional,IV,Top-journal
3,3|Bingley & Westergaard-Nielsen ,2004,Denmark IDA (labor market data) - 7118 companies,28265,0,Total,Financial Perf,All,Multiple,Europe,Panel,IV,Non-top-journal
4,4|Bird & Beechler ,1995,Japanese subsidiaries in the US,64,-0.230000004,Total,Financial Perf,Executive,Multiple,US,Cross-sectional,DV,Non-top-journal
4,4|Bird & Beechler ,1995,Japanese subsidiaries in the US,64,-0.310000002,Total,Overall Perf,Executive,Multiple,US,Cross-sectional,DV,Non-top-journal
4,4|Bird & Beechler ,1995,Japanese subsidiaries in the US,64,0.029999999,Total,Workforce Perf,Primary,Multiple,US,Cross-sectional,DV,Non-top-journal
4,4|Bird & Beechler ,1995,Japanese subsidiaries in the US,64,-0.239999995,Total,Overall Perf,Executive,Multiple,US,Cross-sectional,DV,Non-top-journal
4,4|Bird & Beechler ,1995,Japanese subsidiaries in the US,64,-0.310000002,Total,Overall Perf,Primary,Multiple,US,Cross-sectional,DV,Non-top-journal
4,4|Bird & Beechler ,1995,Japanese subsidiaries in the US,64,-0.170000002,Total,Financial Perf,Primary,Multiple,US,Cross-sectional,DV,Non-top-journal
4,4|Bird & Beechler ,1995,Japanese subsidiaries in the US,64,-0.079999998,Total,Workforce Perf,Executive,Multiple,US,Cross-sectional,DV,Non-top-journal
4,4|Bird & Beechler ,1995,Japanese subsidiaries in the US,64,0.050000001,Total,Overall Perf,Primary,Multiple,US,Cross-sectional,DV,Non-top-journal
5,5|Boselie et al. ,2003,Netherlands companies,132,0.159999996,Total,Employee work attitudes,All,Multiple,Europe,Cross-sectional,DV,Non-top-journal
5,5|Boselie et al. ,2003,Netherlands companies,132,-0.02,Total,Employee work attitudes,All,Multiple,Europe,Cross-sectional,DV,Non-top-journal
6,6|Cannella & Hambrick ,1993,Post acquisition firms in the US,96,-0.25,Total,Financial Perf,Executive,Multiple,US,Lagged perf,IV,Top-journal
6,6|Cannella & Hambrick ,1993,Post acquisition firms in the US,96,-0.25,Total,Financial Perf,Executive,Multiple,US,Cross-sectional,IV,Top-journal
6,6|Cannella & Hambrick ,1993,Post acquisition firms in the US,96,-0.029999999,Total,Financial Perf,Executive,Multiple,US,Lagged perf,IV,Top-journal
7,7|Chow et al. ,2008,Chinese firms,241,-0.059999999,Total,Workforce Perf,All,Multiple,Asia,Cross-sectional,DV,Non-top-journal
7,7|Chow et al. ,2008,Chinese firms,241,-0.170000002,Total,Overall Perf,All,Multiple,Asia,Cross-sectional,DV,Non-top-journal
7,7|Chow et al. ,2008,Chinese firms,241,-0.01,Total,Financial Perf,All,Multiple,Asia,Cross-sectional,DV,Non-top-journal
7,7|Chow et al. ,2008,Chinese firms,265,-0.039999999,Total,Customer satisfaction,Primary,Food,US,Cross-sectional,Control,Top-journal
7,7|Chow et al. ,2008,Chinese firms,265,-0.189999998,Total,Customer satisfaction,Secondary,Food,US,Cross-sectional,Control,Top-journal
8,8|Detert et al. ,2007,U.S. Food-Co restaurants,265,-0.07,Total,Workforce Perf,Primary,Food,US,Cross-sectional,Control,Top-journal
8,8|Detert et al. ,2007,U.S. Food-Co restaurants,265,-0.029999999,Total,Workforce Perf,Secondary,Food,US,Cross-sectional,Control,Top-journal
8,8|Detert et al. ,2007,U.S. Food-Co restaurants,265,-0.100000001,Total,Financial Perf,Secondary,Food,US,Cross-sectional,Control,Top-journal
8,8|Detert et al. ,2007,U.S. Food-Co restaurants,265,0.02,Total,Financial Perf,Primary,Food,US,Cross-sectional,Control,Top-journal
9,9|Gelade & Ivery ,2003,Branch Director Group members (BDG) in Decision-Making Units (DMU) of a bank branches,137,-0.569999993,Total,Customer satisfaction,Primary,Banking,US,Cross-sectional,DV,Top-journal
9,9|Gelade & Ivery ,2003,Branch Director Group members (BDG) in Decision-Making Units (DMU) of a bank branches,136,-0.319999993,Total,Workforce Perf,Primary,Banking,US,Cross-sectional,DV,Top-journal
9,9|Gelade & Ivery ,2003,Branch Director Group members (BDG) in Decision-Making Units (DMU) of a bank branches,137,-0.779999971,Total,Overall Perf,Primary,Banking,US,Cross-sectional,DV,Top-journal
13,13|Glebbeek & Bax ,2004,Temporary job agency in Netherlands,110,-0.185000002,Total,Financial Perf,Primary,Service,Europe,Lagged perf,IV,Top-journal
13,13|Glebbeek & Bax ,2004,Temporary job agency in Netherlands,110,-0.119999997,Total,Financial Perf,Primary,Service,Europe,Cross-sectional,IV,Top-journal
15,15|Guthrie ,2010,Single industry firms from COMPUSTAT and Execucomp,554,-0.2236,Total,Financial Perf,Executive,Multiple,US,Lagged perf,IV,Non-top-journal
16,16|Guthrie ,2001,New Zealand companies,164,-0.050000001,Total,Workforce Perf,All,Multiple,Asia,Cross-sectional,IV,Top-journal
17,17|Hatch & Dyer ,2004,Semi-conductor facilities across countries,702,-0.050000001,Total,Quality,Primary,Manufacturing,All,Cross-sectional,IV,Top-journal
19,19|Huselid ,1995,Publicly held US firms,816,-0.029999999,Total,Financial Perf,All,Multiple,US,Cross-sectional,Mediator,Top-journal
19,19|Huselid ,1995,Publicly held US firms,816,-0.100000001,Total,Financial Perf,All,Multiple,US,Cross-sectional,Mediator,Top-journal
19,19|Huselid ,1995,Publicly held US firms,816,-0.239999995,Total,Workforce Perf,All,Multiple,US,Cross-sectional,Mediator,Top-journal
20,20|Keck ,1997,Cement stable,438,0.029999999,Total,Financial Perf,Executive,Manufacturing,US,Lagged perf,IV,Top-journal
21,21|Keck ,1997,Cement turbulent,280,-0.039999999,Total,Financial Perf,Executive,Manufacturing,US,Lagged perf,IV,Top-journal
22,22|Keck ,1997,Minicomputer turbulent,18,-0.5,Total,Financial Perf,Executive,Manufacturing,US,Lagged perf,IV,Top-journal
23,23|Koslowsky & Locke ,1989,"Large retail outlets, all part of a national chain of stores",290,-0.02,Total,Financial Perf,Secondary,Service,US,Cross-sectional,IV,Non-top-journal
23,23|Koslowsky & Locke ,1989,"Large retail outlets, all part of a national chain of stores",290,0.039999999,Total,Workforce Perf,Secondary,Service,US,Cross-sectional,IV,Non-top-journal
24,24|Koys ,2001,Regional restaurant chain,28,0,Total,Financial Perf,All,Food,US,Cross-sectional,IV,Top-journal
24,24|Koys ,2001,Regional restaurant chain,24,-0.319999993,Total,Customer satisfaction,All,Food,US,Lagged perf,IV,Top-journal
24,24|Koys ,2001,Regional restaurant chain,24,-0.100000001,Total,Customer satisfaction,All,Food,US,Cross-sectional,IV,Top-journal
24,24|Koys ,2001,Regional restaurant chain,28,0.100000001,Total,Financial Perf,All,Food,US,Cross-sectional,IV,Top-journal
24,24|Koys ,2001,Regional restaurant chain,28,-0.280000001,Total,Financial Perf,All,Food,US,Cross-sectional,DV,Top-journal
24,24|Koys ,2001,Regional restaurant chain,28,-0.219999999,Total,Financial Perf,All,Food,US,Lagged perf,IV,Top-journal
24,24|Koys ,2001,Regional restaurant chain,28,-0.239999995,Total,Financial Perf,All,Food,US,Cross-sectional,DV,Top-journal
24,24|Koys ,2001,Regional restaurant chain,28,-0.200000003,Total,Financial Perf,All,Food,US,Lagged perf,IV,Top-journal
24,24|Koys ,2001,Regional restaurant chain,24,0.079999998,Total,Customer satisfaction,All,Food,US,Cross-sectional,DV,Top-journal
25,25|Leveck & Jones ,1996,Inpatient (acute care) nusring units at four hospitals,63,-0.239999995,Total,Quality,Primary,Hospital,US,Cross-sectional,DV,Non-top-journal
27,27|Mueller & Price ,1989,work units in five hospitals,115,-0.129999995,Total,Employee work attitudes,Primary,Hospital,US,Lagged perf,IV,Non-top-journal
27,27|Mueller & Price ,1989,work units in five hospitals,115,-0.330000013,Total,Employee work attitudes,Primary,Hospital,US,Lagged perf,IV,Non-top-journal
28,28|Ployhart et al. ,2011,"franchises from a large, U.S.-based quick service organization (restaurants)",238,-0.07,Total,Workforce Perf,All,Service,US,Cross-sectional,Control,Top-journal
28,28|Ployhart et al. ,2011,"franchises from a large, U.S.-based quick service organization (restaurants)",238,-0.5,Total,Financial Perf,All,Service,US,Cross-sectional,Control,Top-journal
28,28|Ployhart et al. ,2011,"franchises from a large, U.S.-based quick service organization (restaurants)",238,-0.449999988,Total,Customer satisfaction,All,Service,US,Cross-sectional,Control,Top-journal
29,29|Ployhart et al. ,2009,"retail service associates nested within stores from a single, large, retail org.",1036,0.01,Total,Financial Perf,All,Service,US,Cross-sectional,Control,Top-journal
29,29|Ployhart et al. ,2009,"retail service associates nested within stores from a single, large, retail org.",1036,0.109999999,Total,Workforce Perf,All,Service,US,Cross-sectional,Control,Top-journal
29,29|Ployhart et al. ,2009,"retail service associates nested within stores from a single, large, retail org.",1036,0.115000002,Total,Workforce Perf,All,Service,US,Lagged perf,Control,Top-journal
29,29|Ployhart et al. ,2009,"retail service associates nested within stores from a single, large, retail org.",1036,0.015,Total,Financial Perf,All,Service,US,Lagged perf,Control,Top-journal
29,29|Ployhart et al. ,2009,"retail service associates nested within stores from a single, large, retail org.",1036,-0.050000001,Total,Workforce Perf,All,Service,US,Cross-sectional,Control,Top-journal
29,29|Ployhart et al. ,2009,"retail service associates nested within stores from a single, large, retail org.",1036,-0.059999999,Total,Workforce Perf,All,Service,US,Lagged perf,Control,Top-journal
30,30|Richard & Johnson ,2001,banks in California and Kentucky,73,-0.189999998,Total,Financial Perf,All,Banking,US,Cross-sectional,DV,Non-top-journal
30,30|Richard & Johnson ,2001,banks in California and Kentucky,73,0.01,Total,Financial Perf,All,Banking,US,Cross-sectional,DV,Non-top-journal
31,31|Riordan et al. ,2005,Insurance companies in the U.S. and Canada,92,-0.230000004,Total,Financial Perf,All,Banking,US,Cross-sectional,DV,Non-top-journal
31,31|Riordan et al. ,2005,Insurance companies in the U.S. and Canada,92,0.079999998,Total,Financial Perf,All,Banking,US,Cross-sectional,DV,Non-top-journal
31,31|Riordan et al. ,2005,Insurance companies in the U.S. and Canada,92,0.090000004,Total,Financial Perf,All,Banking,US,Cross-sectional,DV,Non-top-journal
32,32|Ryan et al. ,1996,"142 Branches of a large automobile financial services (but considered as different organizations, not units)",131,-0.115000002,Total,Financial Perf,All,Banking,US,Cross-sectional,DV,Top-journal
32,32|Ryan et al. ,1996,"142 Branches of a large automobile financial services (but considered as different organizations, not units)",131,-0.219999999,Total,Financial Perf,All,Banking,US,Cross-sectional,DV,Top-journal
32,32|Ryan et al. ,1996,"142 Branches of a large automobile financial services (but considered as different organizations, not units)",131,-0.289999992,Total,Customer satisfaction,All,Banking,US,Cross-sectional,DV,Top-journal
32,32|Ryan et al. ,1996,"142 Branches of a large automobile financial services (but considered as different organizations, not units)",131,-0.064999998,Total,Financial Perf,All,Banking,US,Cross-sectional,DV,Top-journal
32,32|Ryan et al. ,1996,"142 Branches of a large automobile financial services (but considered as different organizations, not units)",131,0.059999999,Total,Overall Perf,All,Banking,US,Cross-sectional,DV,Top-journal
32,32|Ryan et al. ,1996,"142 Branches of a large automobile financial services (but considered as different organizations, not units)",131,0.07,Total,Workforce Perf,All,Banking,US,Cross-sectional,DV,Top-journal
32,32|Ryan et al. ,1996,"142 Branches of a large automobile financial services (but considered as different organizations, not units)",131,0.125,Total,Financial Perf,All,Banking,US,Cross-sectional,DV,Top-journal
32,32|Ryan et al. ,1996,"142 Branches of a large automobile financial services (but considered as different organizations, not units)",131,-0.094999999,Total,Financial Perf,All,Banking,US,Cross-sectional,DV,Top-journal
32,32|Ryan et al. ,1996,"142 Branches of a large automobile financial services (but considered as different organizations, not units)",131,-0.165000007,Total,Financial Perf,All,Banking,US,Cross-sectional,DV,Top-journal
34,34|Shaw et al. ,2005,domestic stores of an international restaurant chain,38,-0.200000003,Total,Workforce Perf,All,MultipleBanking,US,Lagged perf,Moderator,Top-journal
34,34|Shaw et al. ,2005,domestic stores of an international restaurant chain,38,-0.319999993,Total,Workforce Perf,All,MultipleBanking,US,Lagged perf,Moderator,Top-journal
34,34|Shaw et al. ,2005,domestic stores of an international restaurant chain,38,-0.25,Total,Workforce Perf,All,MultipleBanking,US,Lagged perf,Moderator,Top-journal
39,39|Shevchuk et al. ,2007,Elementary schools in a large US district,593,-0.25,Total,Workforce Perf,Primary,Education,US,Cross-sectional,IV,Non-top-journal
40,40|Shevchuk et al. ,2007,Elementary schools in a large US district,182,-0.360000014,Total,Workforce Perf,Primary,Education,US,Lagged perf,IV,Non-top-journal
41,41|Shortell et al. ,1994,42 ICUs at Nonfederal US hospitals,42,-0.02,Total,Workforce Perf,Primary,Hospital,US,Cross-sectional,DV,Non-top-journal
41,41|Shortell et al. ,1994,42 ICUs at Nonfederal US hospitals,42,-0.36500001,Total,Quality,Primary,Hospital,US,Cross-sectional,DV,Non-top-journal
41,41|Shortell et al. ,1994,42 ICUs at Nonfederal US hospitals,42,-0.200000003,Total,Workforce Perf,Primary,Hospital,US,Cross-sectional,DV,Non-top-journal
45,45|Ton & Huckman ,2008,268 Borders stores,11325,-0.033,Total,Customer satisfaction,Primary,MultipleBanking,US,Cross-sectional,IV,Top-journal
45,45|Ton & Huckman ,2008,268 Borders stores,12717,-0.004,Total,Financial Perf,Primary,MultipleBanking,US,Cross-sectional,IV,Top-journal
45,45|Ton & Huckman ,2008,268 Borders stores,12717,-0.059999999,Total,Financial Perf,All,MultipleBanking,US,Cross-sectional,IV,Top-journal
45,45|Ton & Huckman ,2008,268 Borders stores,12717,-0.048,Total,Financial Perf,Primary,MultipleBanking,US,Cross-sectional,IV,Top-journal
45,45|Ton & Huckman ,2008,268 Borders stores,11325,0.002,Total,Customer satisfaction,Primary,MultipleBanking,US,Cross-sectional,IV,Top-journal
45,45|Ton & Huckman ,2008,268 Borders stores,11325,-0.011,Total,Customer satisfaction,Secondary,MultipleBanking,US,Cross-sectional,IV,Top-journal
45,45|Ton & Huckman ,2008,268 Borders stores,12709,-0.066,Total,Financial Perf,Secondary,MultipleBanking,US,Cross-sectional,IV,Top-journal
45,45|Ton & Huckman ,2008,268 Borders stores,11325,0.007,Total,Customer satisfaction,All,MultipleBanking,US,Cross-sectional,IV,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.119999997,Total,Financial Perf,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.180000007,Total,Financial Perf,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.150000006,Total,Financial Perf,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.150000006,Total,Financial Perf,Primary,Food,US,Lagged perf,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.097999997,Total,Financial Perf,Primary,Food,US,Lagged perf,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.146666661,Total,Financial Perf,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.150000006,Total,Customer satisfaction,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.075999998,Total,Customer satisfaction,Primary,Food,US,Lagged perf,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.125,Total,Customer satisfaction,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.100000001,Total,Financial Perf,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.079999998,Total,Financial Perf,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.140000001,Total,Customer satisfaction,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.129999995,Total,Customer satisfaction,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.150000006,Total,Customer satisfaction,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.115000002,Total,Financial Perf,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.170000002,Total,Financial Perf,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.140000001,Total,Customer satisfaction,Primary,Food,US,Lagged perf,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.230000004,Total,Customer satisfaction,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.119999997,Total,Customer satisfaction,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.02,Total,Financial Perf,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.189999998,Total,Customer satisfaction,Primary,Food,US,Cross-sectional,Mediator,Top-journal
47,47|Van Iddekinge et al. ,2009,A large fastfood org.,861,-0.146666661,Total,Customer satisfaction,Primary,Food,US,Cross-sectional,Mediator,Top-journal
48,48|Vandenberg et al. ,1999,49 life insurance companies in the US and Canada,49,-0.159999996,Total,Financial Perf,All,Banking,US,Cross-sectional,DV,Non-top-journal
50,50|Wiersema & Bantel ,1993,Large manufacturing companies from Fortune,85,-0.216999993,Total,Financial Perf,Executive,Manufacturing,US,Cross-sectional,DV,Top-journal
50,50|Wiersema & Bantel ,1993,Large manufacturing companies from Fortune,85,-0.248999998,Total,Financial Perf,Executive,Manufacturing,US,Cross-sectional,DV,Top-journal
50,50|Wiersema & Bantel ,1993,Large manufacturing companies from Fortune,85,-0.112999998,Total,Financial Perf,Executive,Manufacturing,US,Cross-sectional,DV,Top-journal
53,53|Paul & Anantharaman ,2003,34 Indian software companies (and 370 employees),34,-0.400000006,Total,Financial Perf,Primary,MultipleManufacturing,Asia,Cross-sectional,Mediator,Non-top-journal
53,53|Paul & Anantharaman ,2003,34 Indian software companies (and 370 employees),34,-0.230000004,Total,Financial Perf,Primary,MultipleManufacturing,Asia,Cross-sectional,Mediator,Non-top-journal
53,53|Paul & Anantharaman ,2003,34 Indian software companies (and 370 employees),34,-0.379999995,Total,Workforce Perf,Primary,MultipleManufacturing,Asia,Cross-sectional,Mediator,Non-top-journal
53,53|Paul & Anantharaman ,2003,34 Indian software companies (and 370 employees),34,-0.460000008,Total,Quality,Primary,MultipleManufacturing,Asia,Cross-sectional,Mediator,Non-top-journal
53,53|Paul & Anantharaman ,2003,34 Indian software companies (and 370 employees),34,-0.50999999,Total,Workforce Perf,Primary,MultipleManufacturing,Asia,Cross-sectional,Mediator,Non-top-journal
54,"54|Guest, Conway, & Dewe ",2004,?,1308,-0.25999999,Total,Workforce Perf,All,Multiple,Europe,Cross-sectional,DV,Non-top-journal
55,55|Guest et al. ,2003,UK companies,366,-0.085000001,Total,Financial Perf,All,Multiple,Europe,Cross-sectional,DV,Non-top-journal
55,55|Guest et al. ,2003,UK companies,366,-0.085000001,Total,Workforce Perf,All,Multiple,Europe,Cross-sectional,DV,Non-top-journal
56,56|Hansson ,2007,Companies in European countries,4078,-0.01,Total,Financial Perf,All,Multiple,Europe,Cross-sectional,Control,Non-top-journal
56,56|Hansson ,2007,Companies in European countries,4313,0,Total,Financial Perf,All,Multiple,Europe,Cross-sectional,Control,Non-top-journal
58,58|Siebert & Zubanov ,2009,325 UK clothing retailers,325,-0.239999995,Total,Workforce Perf,Primary,MultipleBanking,Europe,Panel,IV,Top-journal
59,59|Lynn ,2002,Casual-dining restaurants in chain in midwestern US,325,-0.02,Total,Workforce Perf,Secondary,MultipleBanking,Europe,Panel,IV,Top-journal
59,59|Lynn ,2002,Casual-dining restaurants in chain in midwestern US,59,-0.340000004,Total,Customer satisfaction,All,Food,US,Cross-sectional,IV,Non-top-journal
59,59|Lynn ,2002,Casual-dining restaurants in chain in midwestern US,59,-0.300000012,Total,Workforce Perf,All,Food,US,Cross-sectional,IV,Non-top-journal
59,59|Lynn ,2002,Casual-dining restaurants in chain in midwestern US,59,-0.140000001,Total,Workforce Perf,All,Food,US,Cross-sectional,IV,Non-top-journal
60,60|Shen & Cannella ,2002,"Large, publicly traded US corporations experienced CEO succession",228,-0.180000007,Total,Financial Perf,Executive,Multiple,US,Cross-sectional,IV,Top-journal
61,61|Baron et al. ,2001,"Young, high-tech firms in California's Silicon Valley",58,0.029999999,Total,Workforce Perf,All,MultipleManufacturing,US,Panel,IV,Top-journal
62,62|Cooil et al. ,2009,"a large, multinational retail grocery superstore in Western Europe",107,-0.209999993,Total,Customer satisfaction,All,MultipleBanking,Europe,Cross-sectional,DV,Non-top-journal
62,62|Cooil et al. ,2009,"a large, multinational retail grocery superstore in Western Europe",107,0.100000001,Total,Workforce Perf,All,MultipleBanking,Europe,Cross-sectional,DV,Non-top-journal
63,63|Donoghue ,2010,National nursing home survey data,1028,-0.108539999,Total,Workforce Perf,Secondary,Hospital,US,Cross-sectional,DV,Non-top-journal
63,63|Donoghue ,2010,National nursing home survey data,1051,-0.135560006,Total,Workforce Perf,All,Hospital,US,Cross-sectional,DV,Non-top-journal
63,63|Donoghue ,2010,National nursing home survey data,1039,-0.059289999,Total,Workforce Perf,Secondary,Hospital,US,Cross-sectional,DV,Non-top-journal
65,65|Meier & Hickin ,2007,Schools in Texas,3844,-0.090000004,Total,Workforce Perf,Primary,Education,US,Lagged perf,IV,Top-journal
