"","enddate","sex","quota_age","residency","gensoctrust","trustingroups_1","trustingroups_2","trustingroups_3","trustingroups_4","trustingroups_5","trustingroups_6","trustingroups_7","trustingroups_8","trustingroups_9","trustingroups_10","trustingroups_11","trustingroups_12","trustingroups_13","covidexp","covideffect_1","covideffect_2","covideffect_3","covideffect_4","sars","cultcog_1","cultcog_2","cultcog_3","cultcog_4","cultcog_5","cultcog_6","prosocial","canadaq_1","canadaq_2","canadaq_3","finitepool_1","worrycovid19","finitepool_3","finitepool_4","finitepool_5","finitepool_6","finitepool_7","finitepool_8","longitude_1","longitude_2","longitude_3","personal_1","personal_2","personal_3","personal_4","personal_5","personal_6","personal_7","personal_8","friends_1","friends_2","friends_3","friends_4","friends_5","friends_6","friends_7","friends_8","mediaexp_1","mediaexp_2","mediaexp_3","mediaexp_4","mediaexp_5","mediaexp_6","mediaexp_7","posterstrustq1","socialmediatrustq1","journalisttrustq1","govtrustq1","workplacetrustq1","friendstrustq1","whotrustq1","soughtinfo","prep","govresponse_1","govresponse_2","govresponse_3","govresponse_4","govresponse_5","govresponse_6","govresponse_7","govresponse_8","govresponse_9","govrestrict_1","govrestrict_2","govrestrict_3","sciunderstand","knowledgecert_1","knowledgecert_2","vaccine_1","vaccine_2","num1","num2a","num2b","num3","numeracyq1","demage","demedu","demhealthcare","ethnicmin","politics"
"11","2020-03-23T10:28:52Z",1,2,"DE",2,3,3,3,3,3,2,4,3,2,2,4,4,4,3,2,2,6,1,2,1,6,1,1,5,2,6,5,4,1,4,6,3,4,4,5,5,6,7,3,1,4,3,5,4,6,5,5,6,4,2,4,4,4,4,3,4,2,1,1,2,1,1,2,NA,5,5,NA,4,4,NA,1,"1,4,5,6,8,9,11",6,6,6,5,6,6,6,5,NA,2,4,5,7,2,4,2,1,8,5,NA,NA,1,33,3,2,2,3
"12","2020-03-23T10:29:25Z",2,6,"DE",1,5,4,3,3,2,1,4,3,2,2,2,4,2,8,5,2,5,1,2,2,4,2,2,4,4,3,4,2,2,5,5,4,6,3,6,5,6,5,4,3,4,5,4,4,5,4,4,4,3,5,3,4,4,3,4,3,2,2,1,1,2,1,2,NA,NA,3,5,NA,5,NA,1,"1,2,4,8,9,11",6,6,6,5,4,5,5,5,5,3,5,5,6,5,5,2,2,33,25,NA,NA,1,65,5,2,2,5
"13","2020-03-23T10:30:20Z",2,5,"DE",7,5,5,5,4,3,3,5,4,5,4,5,4,5,1,1,4,1,1,2,1,6,1,1,4,6,6,5,1,1,7,6,5,4,1,6,7,4,6,5,1,1,1,1,1,5,1,3,5,4,1,3,5,3,1,3,6,1,1,1,1,1,2,1,3,4,5,7,7,NA,7,2,"1,3,4,5,6,7,11",6,6,6,6,6,6,6,6,6,4,4,4,7,7,6,1,1,5,10,NA,NA,1,56,5,2,2,1
"14","2020-03-23T10:30:25Z",1,5,"DE",1,5,3,3,1,1,1,5,5,1,3,1,3,1,8,1,1,1,1,2,6,6,1,6,1,6,5,5,3,3,7,7,7,7,7,7,7,7,7,7,4,4,1,4,7,7,4,1,4,4,4,1,4,4,4,1,4,2,1,1,1,1,1,1,NA,4,7,7,7,7,7,1,"1,2,4,5,6,8,9,11",4,2,6,7,3,4,4,6,7,1,1,1,7,4,4,1,1,30,30,NA,NA,1,63,2,2,2,1
"15","2020-03-23T10:30:31Z",2,4,"DE",3,5,2,4,2,2,2,3,3,2,2,2,3,2,8,1,1,1,1,2,2,5,2,2,3,3,4,5,2,3,3,3,6,7,1,6,4,6,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,7,NA,4,7,7,7,6,2,"4,5,6,7,10",6,2,3,3,3,5,7,6,7,3,4,5,4,3,6,1,1,15,10,NA,NA,1,47,4,2,2,6
"16","2020-03-23T10:30:48Z",2,4,"DE",2,5,2,4,3,1,4,4,3,1,1,2,4,1,9,6,6,4,2,2,5,5,5,4,5,4,2,5,4,1,7,6,3,1,7,5,5,5,7,4,1,2,7,2,2,5,4,1,6,2,7,1,2,4,2,1,6,2,1,1,1,2,1,1,NA,2,1,5,NA,5,7,1,"1,2,3,4,5,6,7,8,9,10",1,1,5,6,7,5,3,3,2,3,8,8,5,3,4,1,1,40,0,NA,NA,1,47,2,2,4,4
"17","2020-03-23T10:31:11Z",2,3,"DE",4,4,4,4,4,3,3,5,5,5,4,5,5,4,8,1,1,1,1,2,1,5,1,1,3,5,6,5,4,2,6,6,6,1,6,1,6,1,6,2,1,1,5,1,1,1,1,1,5,1,4,1,1,1,1,1,5,2,1,1,1,1,1,1,NA,4,6,6,7,4,7,1,"1,2,4,5,7",6,6,6,6,6,5,6,6,6,3,4,4,5,3,3,1,1,5,5,NA,NA,1,41,2,2,2,3
"18","2020-03-23T10:31:21Z",1,6,"DE",4,5,3,3,3,1,1,5,5,1,2,3,5,3,8,1,4,2,1,2,2,5,2,2,2,5,4,4,2,3,6,4,2,7,6,7,4,7,3,1,1,2,2,2,1,2,2,2,2,1,7,1,1,6,1,1,2,2,2,1,1,2,1,1,NA,NA,2,6,NA,2,6,1,"1,4,5,6,7,8,9,11",7,5,6,6,6,7,7,7,7,1,7,7,7,2,2,1,1,50,25,NA,NA,1,69,2,2,2,5
"19","2020-03-23T10:31:27Z",1,2,"DE",1,5,4,5,3,2,3,5,4,4,3,4,3,4,3,3,7,6,1,2,2,5,1,1,5,1,5,4,2,1,3,7,3,6,5,4,1,6,7,4,1,2,5,1,7,3,1,2,3,1,5,1,7,3,3,1,4,2,1,1,1,1,1,1,NA,4,7,6,7,4,7,1,"1,2,4,5,6,7,8,9",7,5,6,7,5,3,7,7,4,1,1,5,7,3,4,2,1,30,25,NA,NA,1,27,2,1,2,4
"20","2020-03-23T10:32:53Z",1,4,"DE",4,5,4,4,3,3,3,4,4,4,3,4,5,3,8,1,3,2,1,2,2,4,3,3,4,4,5,4,3,2,5,4,4,1,4,5,4,5,5,3,2,3,3,3,4,2,2,1,3,3,5,3,4,4,2,2,5,2,1,1,1,1,1,1,NA,2,5,6,6,4,6,1,"1,4,5,6,7,8,9",6,6,6,6,6,4,6,6,7,2,4,4,6,2,3,1,1,20,35,NA,NA,1,48,5,2,2,3
"21","2020-03-23T10:33:18Z",2,2,"DE",2,4,2,2,2,2,2,5,4,4,2,4,4,3,8,2,5,1,1,2,1,6,1,1,6,6,5,5,3,1,5,7,6,2,4,5,5,4,6,3,2,2,2,4,7,4,2,2,5,4,4,4,4,4,4,4,5,2,1,1,1,1,1,1,NA,5,6,6,6,5,6,1,"1,2,5,6,7,11",7,4,7,7,7,5,6,6,5,3,2,2,6,4,7,1,1,50,30,NA,NA,1,28,2,2,2,5
"22","2020-03-23T10:34:07Z",1,5,"DE",5,4,5,4,3,3,3,4,4,4,3,3,3,3,8,1,1,1,1,2,3,5,2,2,4,4,3,3,3,3,4,6,5,6,3,6,3,5,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,NA,4,4,4,4,4,4,1,"1,2,5,6,8",3,3,4,4,4,4,4,4,4,3,3,3,5,4,5,1,1,18,5,NA,NA,1,58,2,2,2,4
"23","2020-03-23T10:34:16Z",2,6,"DE",2,5,3,4,2,2,1,4,4,2,2,2,3,3,8,1,1,1,1,2,2,5,2,2,4,4,5,5,2,3,4,6,5,6,5,7,4,7,3,2,1,2,5,3,1,1,1,1,4,5,6,2,3,6,1,2,3,2,1,1,1,1,1,1,NA,6,4,6,5,6,5,2,"1,2,4,8,9",7,6,7,7,5,6,7,6,6,5,6,6,6,2,3,1,1,50,25,NA,NA,1,66,5,2,2,4
"24","2020-03-23T10:34:51Z",2,2,"DE",4,5,3,3,3,3,3,4,4,1,2,1,4,4,2,1,1,1,1,2,1,5,1,2,5,5,1,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,NA,5,3,NA,NA,4,NA,2,"",5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,1,1,10,30,NA,NA,1,25,3,2,2,5
"25","2020-03-23T10:35:28Z",2,5,"DE",2,5,3,3,3,1,2,4,4,3,3,5,4,4,9,3,2,7,1,2,1,5,2,2,4,4,5,5,4,1,4,7,4,4,5,4,4,5,7,5,4,4,3,4,5,5,4,4,6,3,4,3,3,4,3,3,6,1,2,1,1,1,1,1,6,NA,5,6,5,4,6,1,"1,4,5,11",7,6,7,6,7,6,7,6,6,1,4,4,6,3,6,1,1,25,NA,23,50,1,56,9,1,2,2
"26","2020-03-23T10:35:30Z",2,3,"DE",4,4,3,4,3,2,2,4,3,3,4,4,3,5,9,3,4,2,4,2,3,4,3,3,4,4,5,4,4,2,3,7,4,5,7,6,2,5,6,4,2,4,4,4,5,5,4,4,5,4,4,4,4,5,5,4,6,2,1,1,1,1,1,1,NA,2,6,6,6,6,6,1,"1,4,5,6",6,6,6,6,6,6,6,7,6,4,3,4,6,3,3,1,1,5,25,NA,NA,1,39,2,2,2,4
"27","2020-03-23T10:35:45Z",2,4,"DE",5,5,4,4,4,3,2,5,5,3,2,3,5,3,8,1,1,3,1,2,2,5,2,2,4,4,6,5,3,1,5,7,3,4,5,5,4,4,5,3,1,2,2,2,2,2,2,3,5,2,2,2,2,2,2,2,5,2,1,1,1,1,1,1,NA,5,6,6,6,7,7,1,"1,2,4,6,7,9,11",6,6,7,6,7,6,7,7,6,2,4,4,7,3,6,1,1,10,30,NA,NA,1,52,4,2,2,5
"28","2020-03-23T10:35:53Z",2,1,"DE",2,5,3,4,4,3,3,4,4,2,4,2,5,2,8,5,6,4,1,2,4,3,3,5,3,4,5,3,3,4,7,5,4,4,6,4,5,3,5,3,2,3,6,1,2,2,2,1,4,2,6,1,3,2,2,2,4,2,1,1,1,1,1,2,NA,4,5,3,6,6,NA,2,"1,6",3,2,4,4,4,4,3,5,5,2,8,4,4,4,6,1,1,25,NA,23,10,1,19,3,2,2,4
"29","2020-03-23T10:36:55Z",2,6,"DE",3,5,4,3,4,2,4,5,5,4,4,4,5,4,8,1,3,1,1,2,1,6,1,1,6,6,4,3,2,2,1,2,3,2,1,3,1,3,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,5,NA,3,NA,NA,2,6,2,"1,4,5,6",7,6,7,5,6,7,5,5,6,2,2,2,7,2,2,1,1,33,30,NA,NA,1,73,5,2,2,5
"30","2020-03-23T10:37:22Z",2,4,"DE",5,5,4,4,3,3,3,5,4,3,2,3,5,4,8,2,1,1,1,2,2,6,1,2,6,6,6,4,3,1,1,5,2,6,4,5,6,6,4,1,1,3,4,1,3,3,2,2,5,4,4,1,2,3,3,3,5,2,1,1,1,1,1,1,NA,3,6,5,3,4,6,1,"1,2,6,7,10,11",6,4,6,5,6,4,7,6,7,1,3,4,6,2,5,1,1,10,30,NA,NA,1,45,5,2,2,5
"31","2020-03-23T10:37:43Z",1,5,"DE",5,5,4,4,3,3,3,4,4,4,4,4,3,4,8,1,4,2,1,2,2,5,6,1,5,6,4,5,5,5,4,7,4,3,4,4,4,4,6,5,4,4,4,3,3,4,3,3,7,4,5,3,3,5,3,3,6,2,1,1,1,2,1,1,NA,4,6,6,NA,5,6,1,"1,2,4,5,6,7,9,11",6,5,5,5,5,5,6,6,6,2,3,4,2,6,6,1,1,1,30,NA,NA,1,62,2,2,2,3
"32","2020-03-23T10:38:02Z",2,4,"DE",1,4,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,2,6,1,6,6,1,5,1,1,1,3,1,1,5,7,5,7,7,7,1,1,1,7,5,7,7,7,7,7,1,6,3,7,7,7,7,7,1,1,1,1,1,2,1,1,1,3,1,1,NA,4,1,1,"11",7,1,1,1,1,5,1,1,1,7,7,7,2,7,1,2,2,40,33,NA,NA,1,51,2,2,4,7
"33","2020-03-23T10:38:51Z",1,6,"DE",1,5,4,4,3,3,4,5,5,4,4,4,5,4,8,1,1,1,1,2,2,6,1,1,6,6,5,5,3,1,4,7,6,6,4,7,4,6,6,5,4,2,3,1,1,2,1,2,4,2,2,2,2,2,2,2,4,2,1,1,1,2,1,1,NA,5,6,6,NA,6,6,2,"1,4,5,6,8,9",6,6,6,5,6,6,6,7,7,2,2,2,6,4,4,1,1,30,25,NA,NA,1,67,3,2,2,2
"34","2020-03-23T10:38:52Z",1,4,"DE",1,4,3,3,2,1,1,5,3,3,3,4,5,5,8,1,2,1,1,2,2,6,3,6,1,5,4,5,2,3,5,7,4,7,3,7,3,7,7,6,5,6,2,3,7,4,4,4,2,6,2,4,7,7,4,2,3,2,1,1,1,2,1,2,NA,7,6,7,NA,7,NA,1,"1,2,4,5,6,7,9,11",7,6,4,4,4,4,4,4,5,3,2,2,5,5,4,1,1,10,NA,NA,NA,NA,52,3,1,2,4
"35","2020-03-23T10:39:14Z",2,4,"DE",5,4,3,4,3,3,2,4,3,2,2,4,5,5,2,1,1,1,1,2,4,6,1,4,5,5,7,5,3,1,1,7,3,7,4,7,2,6,4,1,1,3,1,3,1,5,1,1,5,3,3,1,1,4,1,1,5,2,1,1,1,1,1,1,NA,4,4,7,7,4,6,1,"1,2,4,5,6,7",7,5,5,5,4,6,7,7,7,4,4,4,7,2,4,1,1,0,20,NA,NA,1,54,4,2,1,3
"36","2020-03-23T10:39:25Z",2,6,"DE",4,5,3,3,3,2,3,4,3,3,2,3,3,3,8,1,1,1,1,2,3,5,2,2,4,5,5,5,3,2,6,6,4,5,4,5,6,5,7,4,1,2,2,1,2,3,2,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,6,6,4,5,5,5,5,1,"1,4,5,6,9",5,5,6,6,5,5,6,5,5,3,3,3,6,4,4,1,1,30,25,NA,NA,1,69,2,2,2,3
"37","2020-03-23T10:39:59Z",1,6,"DE",6,5,5,4,5,3,4,5,5,4,5,5,4,4,8,1,1,3,1,2,2,6,1,1,6,6,7,5,2,1,7,7,5,1,7,4,7,2,7,6,6,2,2,1,2,1,5,1,4,3,2,1,2,1,5,1,4,2,2,1,1,2,1,2,NA,NA,7,7,NA,6,NA,1,"1,4,5,6,8,9",7,6,7,7,7,6,7,7,7,1,4,8,7,2,3,1,1,60,25,NA,NA,1,70,3,2,2,2
"38","2020-03-23T10:40:11Z",2,4,"DE",3,5,3,4,2,2,1,5,4,3,3,3,4,4,8,1,4,3,1,2,2,5,2,2,4,4,4,5,3,3,5,6,4,7,2,5,1,6,5,3,1,4,3,1,4,2,1,4,5,4,4,1,4,4,3,5,5,1,1,1,2,2,2,2,6,4,5,NA,NA,NA,NA,2,"1,2,4,5,6",7,6,6,4,6,4,6,4,5,3,4,4,6,2,5,1,1,10,30,NA,NA,1,45,2,2,2,6
"39","2020-03-23T10:40:49Z",2,4,"DE",2,4,3,4,2,1,1,5,4,3,3,3,4,4,8,2,2,2,1,2,4,6,1,4,6,3,7,5,3,3,7,7,6,7,7,7,7,7,7,6,1,7,5,7,7,7,7,7,6,6,6,7,7,7,7,7,7,2,1,1,1,1,1,1,NA,7,6,6,6,5,6,1,"1,2,4,5,6,7",6,5,6,6,6,3,6,4,5,2,3,4,7,2,4,1,1,20,0,NA,NA,1,49,3,1,2,3
"40","2020-03-23T10:41:22Z",1,6,"DE",4,4,3,3,3,3,3,4,4,3,3,4,2,3,8,2,5,4,1,2,1,6,1,1,5,5,5,4,3,1,4,6,4,4,4,3,4,4,4,2,1,4,2,2,2,4,3,3,5,4,2,4,4,4,4,3,5,2,1,1,1,2,1,1,NA,7,6,6,NA,6,6,1,"1,4,5,7,8",5,6,6,6,6,6,5,4,4,3,3,3,6,2,3,1,1,25,NA,20,NA,1,65,2,2,2,5
"41","2020-03-23T10:41:52Z",1,6,"DE",5,5,5,5,4,3,3,5,5,4,4,5,5,4,3,1,2,2,1,2,2,6,3,1,4,4,4,4,3,2,6,6,5,2,5,6,5,6,5,2,1,2,2,6,4,1,6,1,5,5,4,6,5,6,6,1,4,2,2,1,1,2,2,2,NA,NA,5,7,NA,NA,NA,1,"1",7,5,7,4,7,4,3,5,7,3,4,4,4,5,6,1,1,10,20,NA,NA,1,77,3,2,2,3
"42","2020-03-23T10:41:54Z",2,1,"DE",3,5,3,4,2,2,1,4,4,2,2,2,4,3,8,2,6,5,1,2,4,6,1,3,4,2,6,4,5,1,6,6,7,7,6,6,6,7,7,4,2,4,3,4,7,7,4,7,7,5,6,3,6,7,3,7,7,2,1,1,1,1,1,2,NA,5,4,5,4,6,NA,2,"1,4,5,6,7",7,3,6,6,5,7,7,7,6,3,4,4,6,6,6,1,1,25,NA,35,95,1,18,3,2,2,6
"43","2020-03-23T10:44:02Z",2,6,"DE",5,5,4,4,3,3,3,4,4,3,2,2,4,3,8,1,4,2,1,2,5,5,2,2,3,5,5,5,3,2,2,5,4,7,2,5,2,6,4,4,4,2,2,2,4,2,1,4,5,2,2,2,2,2,2,4,4,2,2,1,1,1,2,2,NA,NA,5,6,5,NA,NA,1,"1,4,5,9",6,5,7,5,3,5,6,6,6,3,5,6,5,3,3,1,1,25,NA,20,NA,1,69,5,2,2,5
"44","2020-03-23T10:44:33Z",1,4,"DE",5,5,3,4,3,2,3,4,4,3,4,4,5,3,8,1,5,2,1,2,1,4,1,1,6,4,5,5,4,2,5,7,4,3,3,6,3,6,7,4,1,5,3,4,4,6,3,2,7,5,5,4,6,5,4,3,7,2,1,1,1,1,1,1,NA,5,6,6,5,6,7,1,"1,2,4,5,6,7,8,9,11",6,6,5,5,7,6,7,7,6,3,2,2,2,3,3,1,1,60,40,NA,NA,1,49,2,2,2,4
"45","2020-03-23T10:46:16Z",1,4,"DE",5,2,2,4,2,3,2,4,4,3,3,3,4,3,8,3,5,2,1,2,1,5,1,1,5,5,7,4,2,2,5,6,6,4,7,6,6,7,6,4,3,6,6,6,6,6,6,6,6,6,6,2,6,6,5,4,6,2,2,1,1,1,1,1,NA,NA,5,6,5,4,5,1,"1,4,5,6,7,8,9",4,4,3,4,4,4,3,4,5,2,2,3,4,3,3,1,1,3,20,NA,NA,1,51,4,2,2,5
"46","2020-03-23T10:46:27Z",2,3,"DE",4,5,4,4,4,3,4,4,4,3,3,3,4,4,8,2,3,3,1,2,2,5,2,3,5,4,5,4,3,2,5,5,3,4,6,5,4,4,5,3,2,4,4,2,5,4,2,3,5,3,4,3,4,4,2,2,5,2,1,1,1,1,1,1,NA,3,4,5,5,4,6,1,"1,2,4,5,6,11",6,6,6,6,6,5,6,6,5,3,3,3,5,4,4,2,1,10,30,NA,NA,1,37,4,2,2,4
"47","2020-03-23T10:46:29Z",1,5,"DE",5,4,4,4,3,2,3,4,3,3,3,3,3,3,8,5,6,6,1,2,2,6,2,2,5,2,4,5,2,2,5,6,5,5,6,5,3,5,5,2,1,6,7,3,4,4,5,3,4,5,6,5,5,5,4,4,4,2,1,1,1,2,1,1,NA,5,4,5,NA,5,6,1,"1,4,5,6,7,9",4,5,6,5,6,6,6,5,5,3,4,4,4,4,4,2,1,10,25,NA,NA,2,58,2,2,2,4
"48","2020-03-23T10:47:18Z",1,6,"DE",5,5,4,3,3,4,1,4,5,3,2,3,4,4,8,1,1,1,1,2,6,6,2,2,5,4,3,5,2,2,6,6,7,7,4,7,6,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,5,NA,6,5,NA,6,7,1,"1,2,4,5,6,7,8,11",7,6,7,7,7,4,6,6,5,7,6,6,4,2,4,1,1,10,0,NA,NA,1,70,4,2,2,5
"49","2020-03-23T10:47:27Z",2,6,"DE",1,5,4,5,2,3,1,5,4,3,4,4,5,4,8,1,1,1,1,2,1,6,1,1,3,3,4,5,1,1,4,7,4,7,6,7,4,7,3,3,1,7,7,2,1,4,2,7,4,4,4,2,5,6,3,6,2,2,1,1,2,2,2,1,NA,6,5,NA,NA,NA,7,1,"1,2,4,6,7",4,4,3,4,7,5,5,6,7,6,6,6,5,1,2,1,1,40,39,NA,NA,1,67,2,2,2,1
"50","2020-03-23T10:47:35Z",1,2,"DE",4,4,4,4,4,3,3,4,3,3,2,4,4,3,8,3,4,3,6,2,2,5,2,2,5,6,5,5,4,1,5,6,4,1,6,5,4,5,5,1,1,4,3,4,3,5,5,1,6,4,6,4,4,5,4,1,6,2,1,1,1,2,1,1,NA,5,3,6,NA,4,7,1,"1,2,4,5,6,9",5,6,6,7,7,5,6,5,6,2,5,5,3,3,6,1,1,25,NA,22,80,1,31,4,2,2,5
"51","2020-03-23T10:47:45Z",2,4,"DE",2,4,3,3,2,2,2,3,4,1,2,2,4,3,8,2,1,1,1,2,5,3,4,5,2,3,5,4,2,4,7,3,3,4,1,4,6,4,2,1,1,4,4,3,5,4,4,4,3,4,5,3,4,4,4,3,4,2,2,1,1,2,2,2,NA,NA,4,4,NA,NA,NA,1,"4,5,11",5,3,5,6,5,4,6,5,5,2,2,6,6,6,5,1,1,25,NA,24,80,1,54,2,2,1,4
"52","2020-03-23T10:48:04Z",1,4,"DE",4,5,3,4,4,2,4,4,5,3,3,3,4,4,8,1,2,1,1,2,2,6,2,2,6,6,7,5,3,2,7,7,4,4,1,5,7,5,7,4,2,4,1,1,3,5,4,1,5,4,5,2,2,2,4,2,6,2,1,1,1,1,1,1,NA,6,5,5,5,4,7,1,"1,2,4,5,6,8,9",6,5,6,6,7,5,6,6,6,1,2,2,6,3,3,1,1,10,30,NA,NA,1,53,5,2,2,2
