StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10-14_1,Q10-14_2,Q10-14_3,Q10-14_4,Q10-14_5,Q15-18_1,Q15-18_2,Q15-18_3,Q15-18_4,Q19-24_1,Q19-24_2,Q19-24_3,Q19-24_4,Q19-24_5,Q19-24_6,Q25-29_1,Q25-29_2,Q25-29_3,Q25-29_4,Q25-29_5,Q30-34_1,Q30-34_2,Q30-34_3,Q30-34_4,Q30-34_5,Q35,Q36,Q37,Q38-41_1,Q38-41_2,Q38-41_3,Q38-41_4
3/9/2020 13:15,3/9/2020 13:18,IP Address,73.214.10.83,100,622,TRUE,3/9/2020 13:18,R_5c1QYRuZbQzE46Z,,,,,39.5953064,-79.92289734,anonymous,EN,24,1,Male,132234,4,5,Married,7,2,5,1,2,3,5,1,4,1,5,4,5,2,5,3,3,1,3,1,1,2,1,4,5,5,5,1,5,4,6,6,6
3/9/2020 13:15,3/9/2020 13:18,IP Address,98.236.80.105,95,726,FALSE,3/9/2020 13:18,R_3GDEDpTATtOXOqG,,,,,39.5953064,-79.92289734,anonymous,EN,44,2,Male,54170,3,3,Divorced,7,4,,5,5,1,5,3,1,3,2,1,5,,4,2,3,5,3,5,4,1,3,4,5,3,3,4,5,7,5,6,4
3/9/2020 13:16,3/9/2020 13:22,IP Address,50.197.45.234,100,669,TRUE,3/9/2020 13:22,R_1kSstlu7m10qNKX,,,,,39.6519928,-79.94439697,anonymous,EN,64,1,Female,45726,3,3,Divorced,7,4,1,1,5,2,4,5,3,1,2,5,3,1,3,4,1,3,4,1,3,3,4,4,4,2,7,6,4,4,5,1,3
3/9/2020 13:19,3/9/2020 13:23,IP Address,107.77.223.12,100,785,TRUE,3/9/2020 13:23,R_OQhLeDCgnd1ae1r,,,,,40.74279785,-73.97119904,anonymous,EN,34,1,Female,129199,5,5,Married,7,5,1,4,5,3,1,5,4,5,3,1,4,2,1,1,4,5,5,1,3,1,5,3,5,1,5,3,1,2,3,2,7
3/9/2020 13:10,3/9/2020 13:40,IP Address,157.182.253.95,100,622,TRUE,3/9/2020 13:40,R_XiIKP3dT0Gb0xVL,,,,,39.6519928,-79.94439697,anonymous,EN,49,2,Female,149609,4,4,Widowed,7,5,1,5,1,4,1,1,3,5,4,5,4,4,4,1,1,5,4,4,4,1,5,4,1,1,1,2,1,4,4,7,7
3/9/2020 13:40,3/9/2020 13:42,IP Address,76.125.249.149,100,722,TRUE,3/9/2020 13:42,R_9GM5E5JWiA8djW1,,,,,39.6519928,-79.94439697,anonymous,EN,34,1,Female,116148,3,3,Divorced,7,2,5,3,5,1,5,5,2,4,1,2,2,1,5,2,2,5,4,1,1,1,5,5,4,3,2,2,7,5,7,3,6
3/9/2020 13:48,3/9/2020 13:52,IP Address,50.197.45.234,100,557,TRUE,3/9/2020 13:52,R_1pAMq2lvdmGiWfc,,,,,39.6519928,-79.94439697,anonymous,EN,50,1,Female,136559,1,2,Separated,7,3,2,4,1,1,4,2,5,2,3,4,2,5,5,5,2,3,5,5,1,5,5,4,2,3,4,3,3,5,2,2,6
3/9/2020 13:09,3/9/2020 14:23,IP Address,98.239.148.51,37,13,FALSE,3/9/2020 14:23,R_3MDvPxWa9IdtRj4,,,,,39.6519928,-79.94439697,anonymous,EN,47,2,Male,,4,3,Divorced,7,4,5,4,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3/9/2020 14:23,3/9/2020 14:25,IP Address,98.239.148.51,100,784,TRUE,3/9/2020 14:25,R_1IM0B19BisAD9aQ,,,,,39.6519928,-79.94439697,anonymous,EN,25,2,Male,46836,0,3,Divorced,7,1,5,3,3,2,1,1,3,2,4,4,5,5,4,2,3,4,3,4,2,1,3,5,1,5,6,7,2,5,3,3,3
3/9/2020 14:44,3/9/2020 14:47,IP Address,166.182.253.54,100,638,TRUE,3/9/2020 14:47,R_1IblnGjXLz8eJLc,,,,,43.03819275,-87.91000366,anonymous,EN,30,1,Male,52790,5,2,Separated,7,5,3,4,1,1,5,3,5,3,3,3,3,1,2,1,5,3,3,4,3,3,5,3,2,1,1,2,5,1,3,3,3
3/9/2020 15:00,3/9/2020 15:05,IP Address,107.77.225.196,100,543,TRUE,3/9/2020 15:05,R_3p3hvwHuO70R77X,,,,,40.68009949,-73.92070007,anonymous,EN,51,1,Male,120602,5,2,Separated,7,5,5,5,2,5,4,4,4,1,1,2,4,1,2,1,4,2,2,4,2,5,3,4,1,5,4,5,6,6,2,1,2
3/9/2020 15:25,3/9/2020 15:29,IP Address,99.203.16.61,100,747,TRUE,3/9/2020 15:29,R_3RlyAMtHnpoqbCI,,,,,39.21510315,-76.7539978,anonymous,EN,52,1,Male,90765,1,2,Separated,7,4,2,4,2,3,4,5,2,3,2,2,3,2,1,2,3,1,2,4,5,2,1,1,1,5,3,6,1,7,7,4,1
3/9/2020 15:46,3/9/2020 15:53,IP Address,174.229.6.100,100,649,TRUE,3/9/2020 15:53,R_2wzyZg2sJnl0GVK,,,,,40.4322052,-80.10209656,anonymous,EN,55,1,Male,41308,0,4,Widowed,7,4,2,2,3,5,5,3,3,3,2,3,4,2,3,3,2,3,4,5,3,3,2,4,3,4,3,3,7,2,6,5,2
3/9/2020 16:03,3/9/2020 16:09,IP Address,137.103.20.73,100,680,TRUE,3/9/2020 16:09,R_2Vdw5dIzw8ujll1,,,,,39.83940125,-79.89499664,anonymous,EN,28,1,Male,164340,2,2,Separated,7,5,2,1,3,2,3,4,3,5,5,2,2,5,4,4,5,5,4,2,2,5,4,4,2,1,6,3,7,7,4,7,4
3/9/2020 16:45,3/9/2020 16:48,IP Address,174.229.0.188,98,651,FALSE,3/9/2020 16:48,R_3kuhTFfr5R5HixD,,,,,40.36849976,-80.05039978,anonymous,EN,52,1,Male,74101,0,1,Never married,7,1,,5,3,5,1,5,5,2,2,2,1,4,4,4,4,3,5,2,1,5,3,5,1,2,7,4,4,6,3,5,7
3/9/2020 19:19,3/9/2020 19:24,IP Address,138.207.135.62,98,755,FALSE,3/9/2020 19:24,R_21ikqIJKmjXrSNh,,,,,39.48500061,-79.71450043,anonymous,EN,32,2,Female,27052,3,1,Never married,7,4,5,5,5,2,3,3,2,1,1,3,2,2,5,4,2,,2,3,4,1,5,4,1,2,1,3,4,2,4,7,3
3/9/2020 14:19,3/10/2020 6:26,IP Address,76.125.249.149,100,756,TRUE,3/10/2020 6:26,R_1IEjIm7ckzkFKiQ,,,,,39.6519928,-79.94439697,anonymous,EN,33,1,Female,100505,2,5,Married,7,2,3,5,2,4,2,1,1,3,5,1,4,5,5,4,3,2,1,4,3,5,5,3,5,5,1,3,1,6,5,6,6
3/9/2020 13:09,3/9/2020 13:11,IP Address,99.203.80.93,100,9225,TRUE,3/16/2020 13:12,R_VOU2vULIiJGPZHH,,,,,39.6519928,-79.94439697,anonymous,EN,26,1,Male,52118,2,1,Never married,7,5,4,5,3,4,5,3,3,3,3,5,1,4,2,3,1,5,4,4,5,1,5,3,3,3,5,6,4,7,5,5,1
3/9/2020 13:15,3/9/2020 13:17,IP Address,75.102.136.35,100,788,TRUE,3/16/2020 13:18,R_1kSaYLtXcfk67hf,,,,,39.6519928,-79.94439697,anonymous,EN,52,1,Male,88938,0,1,Never married,7,2,4,2,1,5,2,4,4,1,3,2,2,5,3,1,2,1,2,1,2,5,4,2,2,5,4,6,1,5,1,1,7
3/9/2020 13:14,3/9/2020 13:19,IP Address,99.203.80.45,98,512,FALSE,3/16/2020 13:19,R_1Nb4fQXFYqYQNLV,,,,,39.6519928,-79.94439697,anonymous,EN,64,1,Male,110502,0,2,Separated,7,2,,2,1,1,2,1,1,5,4,4,4,4,5,2,1,1,1,2,5,2,2,2,3,4,2,1,3,4,6,1,3
3/9/2020 13:31,3/9/2020 13:31,IP Address,157.182.84.10,100,589,TRUE,3/16/2020 13:32,R_233rUxhe2Bph0MT,,,,,39.6519928,-79.94439697,anonymous,EN,44,1,Female,30040,4,5,Married,7,4,3,4,2,4,1,1,2,1,5,1,1,5,3,5,1,5,5,4,3,4,4,2,1,5,3,6,4,4,3,3,3
3/9/2020 19:53,3/9/2020 19:53,IP Address,73.236.123.170,100,668,TRUE,3/16/2020 19:53,R_9TZPiuoidYeYJJn,,,,,39.6519928,-79.94439697,anonymous,EN,49,1,Female,107698,3,4,Widowed,7,3,2,4,5,5,1,1,3,3,3,1,3,4,4,2,2,4,2,4,2,4,1,5,4,3,2,2,3,3,3,3,2
2/26/2020 14:10,2/26/2020 14:32,IP Address,157.182.144.243,100,710,TRUE,2/26/2020 14:32,R_2rCMIgQOhShJjgN,,,,,40.14011694,-79.88410964,anonymous,EN,47,1,Female,137233,4,3,Divorced,7,2,2,2,1,2,2,1,3,5,5,1,5,1,3,5,1,2,1,2,3,3,3,1,1,3,5,3,6,7,3,5,5
2/23/2020 12:39,2/23/2020 12:39,IP Address,73.236.134.122,100,558,TRUE,3/1/2020 12:40,R_3pscJIVyZJNJgOj,,,,,40.15063042,-79.92570881,anonymous,EN,55,2,Male,109956,0,4,Widowed,7,5,4,5,5,2,3,1,5,3,5,3,5,1,2,5,5,3,5,3,3,3,2,4,4,3,3,1,2,2,4,7,6
3/1/2020 17:42,3/1/2020 17:42,IP Address,73.236.111.102,100,642,TRUE,3/8/2020 18:54,R_269DRjyZzG1GPOU,,,,,40.1611439,-79.96730799,anonymous,EN,51,2,Female,124826,1,5,Married,7,5,2,3,5,4,3,5,1,5,5,4,3,3,1,3,1,1,3,3,5,4,4,5,4,2,2,6,6,1,5,4,6
3/9/2020 13:09,3/9/2020 13:11,IP Address,67.163.168.144,95,771,FALSE,3/9/2020 13:11,R_2aQxs9S0mhReW5D,,,,,40.17165738,-80.00890716,anonymous,EN,37,1,Male,151748,2,5,Married,7,3,,2,4,2,4,2,1,4,2,5,3,,4,5,2,2,3,1,2,3,3,2,5,2,5,2,6,2,3,4,5
3/9/2020 13:09,3/9/2020 13:12,IP Address,107.77.223.96,100,770,TRUE,3/9/2020 13:12,R_2DOyQnt6TvVWwS8,,,,,40.18217086,-80.05050634,anonymous,EN,57,1,Female,138326,2,4,Widowed,7,4,1,3,5,3,4,5,2,4,4,4,5,5,3,4,2,5,1,1,5,2,2,5,2,4,7,6,2,2,3,1,5
3/9/2020 13:11,3/9/2020 13:14,IP Address,174.229.3.255,100,767,TRUE,3/9/2020 13:14,R_piTeWh0wf5DLOY10,,,,,40.19268434,-80.09210551,anonymous,EN,36,1,Female,104205,0,3,Divorced,7,4,1,1,2,2,4,3,2,2,3,3,5,4,5,5,4,3,4,5,3,4,4,2,5,1,4,5,2,1,6,4,7
3/9/2020 13:12,3/9/2020 13:16,IP Address,157.182.253.144,100,544,TRUE,3/9/2020 13:16,R_1qU2aZAUKStmMOs,,,,,40.20319782,-80.13370469,anonymous,EN,40,1,Female,128758,4,1,Never married,7,2,1,3,5,2,4,5,3,2,5,5,2,5,1,3,2,4,1,1,4,5,5,3,5,4,5,5,4,3,6,7,2
3/9/2020 13:15,3/9/2020 13:18,IP Address,157.182.253.105,93,7423,FALSE,3/9/2020 13:18,R_3Rt58wOd9nl8LOF,,,,,40.2137113,-80.17530386,anonymous,EN,36,1,Male,57278,5,5,Married,7,1,1,2,4,1,4,1,5,5,4,2,5,3,1,4,4,5,1,1,3,5,4,1,4,1,5,4,5,1,,,
3/9/2020 13:15,3/9/2020 13:18,IP Address,73.214.10.84,100,753,TRUE,3/9/2020 13:18,R_5c1QYRuZbQzE46Z,,,,,40.22422478,-80.21690304,anonymous,EN,45,1,Male,25271,1,2,Separated,7,4,5,2,2,2,1,3,4,3,5,1,1,4,2,3,3,3,5,4,1,3,2,5,4,1,7,1,2,3,5,4,1
3/9/2020 13:15,3/9/2020 13:18,IP Address,98.236.80.106,100,709,TRUE,3/9/2020 13:18,R_3GDEDpTATtOXOqG,,,,,40.23473826,-80.25850221,anonymous,EN,32,1,Male,45877,3,4,Widowed,7,3,2,3,3,4,3,1,2,5,5,2,1,3,2,1,3,5,1,4,4,1,1,5,4,2,4,4,4,6,5,7,4
3/9/2020 13:16,3/9/2020 13:22,IP Address,50.197.45.235,100,634,TRUE,3/9/2020 13:22,R_1kSstlu7m10qNKX,,,,,40.24525174,-80.30010139,anonymous,EN,38,1,Male,107676,0,5,Married,7,1,4,1,2,2,1,4,2,1,1,2,5,3,4,2,5,5,1,5,1,3,3,2,3,4,2,3,3,5,3,3,7
3/9/2020 13:19,3/9/2020 13:23,IP Address,107.77.223.13,100,711,TRUE,3/9/2020 13:23,R_OQhLeDCgnd1ae1r,,,,,40.25576522,-80.34170057,anonymous,EN,61,1,Female,126657,5,3,Divorced,7,1,3,4,4,4,4,2,5,1,3,1,3,1,1,4,5,5,3,1,2,3,4,1,3,4,3,3,1,6,1,5,4
3/9/2020 13:10,3/9/2020 13:40,IP Address,157.182.253.96,95,774,FALSE,3/9/2020 13:40,R_XiIKP3dT0Gb0xVL,,,,,40.2662787,-80.38329974,anonymous,EN,53,2,Female,41348,0,3,Divorced,7,4,,3,5,4,4,4,2,1,2,5,3,,1,4,4,2,1,3,5,1,1,2,3,4,4,2,6,6,7,2,4
3/9/2020 13:40,3/9/2020 13:42,IP Address,76.125.249.150,100,734,TRUE,3/9/2020 13:42,R_9GM5E5JWiA8djW2,,,,,40.27679218,-80.42489892,anonymous,EN,38,1,Female,145026,4,5,Married,7,4,2,5,2,5,2,2,3,4,5,5,3,4,2,1,3,3,2,3,1,4,4,3,4,4,4,6,2,2,4,2,2
3/9/2020 13:48,3/9/2020 13:52,IP Address,50.197.45.235,59,110,FALSE,3/9/2020 13:52,R_1pAMq2lvdmGiWfc,,,,,40.28730566,-80.46649809,anonymous,EN,56,1,Female,28200,0,4,Widowed,7,3,2,3,4,1,5,5,1,2,3,1,4,1,5,3,,,,,,,,,,,,,,,,,
3/9/2020 13:09,3/9/2020 14:23,IP Address,98.239.148.51,100,503,TRUE,3/9/2020 14:23,R_3MDvPxWa9IdtRj5,,,,,40.29781915,-80.50809727,anonymous,EN,54,2,Male,101777,2,1,Never married,7,3,2,2,4,1,4,3,3,3,3,2,1,1,1,3,4,3,3,3,1,4,3,3,3,3,7,6,6,1,6,5,7
3/9/2020 14:23,3/9/2020 14:25,IP Address,98.239.148.51,100,713,TRUE,3/9/2020 14:25,R_1IM0B19BisAD9aQ,,,,,40.30833263,-80.54969644,anonymous,EN,46,1,Female,117781,4,5,Married,7,5,5,3,5,1,5,4,4,5,3,1,1,4,1,4,3,1,1,5,4,1,1,3,4,4,5,1,1,2,2,1,5
3/9/2020 14:44,3/9/2020 14:47,IP Address,166.182.253.55,100,7666,TRUE,3/9/2020 14:47,R_1IblnGjXLz8eJLc,,,,,40.31884611,-80.59129562,anonymous,EN,46,1,Female,39405,0,3,Divorced,7,4,4,5,3,1,4,2,5,3,5,1,3,2,1,1,1,2,5,4,1,1,2,4,1,1,5,7,2,2,6,1,2
